datum,IC_capaciteit_totaal,kliniek_capaciteit_totaal,IC_bezetting_covid,IC_bezetting_covid_internationaal,IC_bezetting_ontlabeld,IC_bezetting_noncovid,kliniek_bezetting_covid,kliniek_bezetting_ontlabeld,kliniek_bezetting_noncovid,IC_opnames_covid,kliniek_opnames_covid
01-02-2023,1064,16933,17,0,8,708,268,150,14136,3,56
31-01-2023,1061,16798,18,0,4,682,291,160,13824,4,73
30-01-2023,1060,16519,19,0,3,629,284,139,12982,2,51
27-01-2023,1051,17175,17,0,6,697,269,156,13789,3,61
26-01-2023,1029,16709,19,0,7,663,275,149,13803,2,56
25-01-2023,1021,16478,22,0,4,647,281,150,13732,1,52
24-01-2023,1029,16407,20,0,9,647,306,146,13238,5,67
23-01-2023,1011,16172,21,0,7,614,333,151,12482,3,51
20-01-2023,1032,16527,21,0,7,690,354,155,13995,1,66
19-01-2023,1032,16537,32,0,10,683,375,164,14058,5,57
18-01-2023,1034,16516,32,0,7,707,393,181,14083,6,63
17-01-2023,1029,16487,28,0,5,711,407,179,13555,1,91
16-01-2023,1017,16211,30,0,9,658,425,173,13059,3,70
13-01-2023,1019,16494,31,0,6,724,480,176,13911,5,78
12-01-2023,1018,16517,35,0,8,735,509,176,14023,5,75
11-01-2023,1023,16340,37,0,6,726,526,190,13826,6,94
10-01-2023,1037,16380,36,0,5,745,628,184,13752,3,116
09-01-2023,1019,16092,39,0,6,702,675,181,12908,3,114
06-01-2023,1024,16052,45,0,3,765,673,194,13490,10,102
05-01-2023,1031,16081,41,0,6,768,711,200,13539,8,119
04-01-2023,1021,16026,39,0,8,749,724,180,13613,3,134
03-01-2023,1009,16030,52,0,9,737,767,166,13482,7,153
02-01-2023,1007,15709,43,0,5,689,740,166,12625,8,139
30-12-2022,1009,15593,39,0,5,688,726,174,12903,8,146
29-12-2022,1011,15630,46,0,6,706,711,158,12690,13,130
28-12-2022,1016,15473,40,0,8,685,773,166,12847,6,140
27-12-2022,1001,15392,42,0,6,646,750,122,12153,7,162
23-12-2022,1027,16373,44,0,3,744,637,130,13638,9,117
22-12-2022,994,16000,39,0,3,741,615,146,13847,13,131
21-12-2022,1012,15962,31,0,7,754,601,149,14122,10,117
20-12-2022,1006,16129,26,0,5,737,584,139,14119,5,99
19-12-2022,1038,15941,26,0,6,739,593,131,13738,6,107
16-12-2022,1032,16119,20,0,7,762,510,153,14387,6,106
15-12-2022,1028,16014,19,0,4,768,459,166,14276,6,95
14-12-2022,1044,15954,21,0,6,752,439,163,14146,8,76
13-12-2022,1045,15822,19,0,6,734,458,150,13882,6,96
12-12-2022,1026,15308,17,0,9,709,456,128,12977,6,93
09-12-2022,1025,16177,17,0,14,738,416,179,14077,3,92
08-12-2022,1028,16367,20,0,15,705,395,198,14219,3,80
07-12-2022,1022,16399,23,0,16,689,390,191,13996,5,78
06-12-2022,1026,16106,20,0,17,675,389,196,13948,5,57
05-12-2022,1018,15576,24,0,13,626,402,209,12958,2,60
02-12-2022,1021,15908,26,0,9,704,396,173,13836,4,72
01-12-2022,1021,15968,25,0,11,679,396,211,13783,6,78
30-11-2022,1016,15897,23,0,9,673,386,223,13726,4,70
29-11-2022,1026,15746,23,0,9,684,400,225,13612,5,85
28-11-2022,1022,15292,22,0,11,658,372,215,12543,3,65
25-11-2022,1030,15618,24,0,8,717,349,232,13469,4,79
24-11-2022,1023,15679,21,0,11,702,344,241,13507,6,79
23-11-2022,1017,15764,21,0,12,674,340,248,13571,3,68
22-11-2022,1024,15537,20,0,13,660,359,265,13163,5,73
21-11-2022,1019,15072,22,0,11,644,367,265,12357,11,54
18-11-2022,1019,15620,19,0,8,693,347,272,13447,1,57
17-11-2022,1001,15711,23,0,12,680,354,286,13488,3,53
16-11-2022,1007,15407,21,0,13,682,353,292,13449,6,63
15-11-2022,1019,15608,24,0,12,657,394,284,13345,3,69
14-11-2022,1011,15140,25,0,11,629,403,270,12383,0,59
11-11-2022,1018,15545,30,0,7,685,402,290,13279,5,71
10-11-2022,1007,15839,30,0,10,675,422,308,13421,1,65
09-11-2022,1010,15810,33,0,7,662,449,306,13479,5,59
08-11-2022,1021,15838,25,0,8,656,494,322,13473,3,86
07-11-2022,1004,15310,30,0,9,589,507,309,12314,4,95
04-11-2022,1026,15449,26,0,10,643,515,335,12836,3,86
03-11-2022,1013,15406,28,0,8,641,563,347,12890,4,103
02-11-2022,1028,15423,35,0,10,659,603,341,13046,7,85
01-11-2022,1029,15549,35,0,11,636,618,346,12892,4,90
31-10-2022,1016,14792,43,0,7,561,691,330,11895,14,104
28-10-2022,1021,15131,40,0,13,636,688,299,12560,14,106
27-10-2022,1016,15033,41,0,16,651,736,315,12568,11,132
26-10-2022,1019,15091,43,0,16,624,780,313,12660,10,143
25-10-2022,1020,15057,41,0,14,626,796,326,12634,9,143
24-10-2022,1007,14634,42,0,13,581,834,301,11787,8,138
21-10-2022,1007,15197,38,0,18,650,837,286,12755,5,147
20-10-2022,995,14934,46,0,17,639,852,261,12482,7,131
19-10-2022,1017,15306,50,0,15,666,891,281,12869,19,166
18-10-2022,1015,15293,39,0,13,670,920,262,12862,10,186
17-10-2022,1018,14900,36,0,9,642,918,248,12130,6,181
14-10-2022,1008,15261,27,0,10,683,802,255,12816,7,148
13-10-2022,1017,15265,28,0,18,661,852,258,12879,11,155
12-10-2022,1013,15085,35,0,13,658,856,239,12679,15,139
11-10-2022,996,14995,34,0,13,654,880,233,12582,15,157
10-10-2022,1001,15011,37,0,10,630,876,203,12232,9,162
07-10-2022,1015,15205,31,0,9,663,746,176,12970,11,142
06-10-2022,1013,15235,29,0,9,658,731,176,12933,4,141
05-10-2022,1014,15033,27,0,11,677,732,171,12928,8,141
04-10-2022,1016,15310,20,0,13,656,683,157,12869,2,148
03-10-2022,1008,14802,32,0,12,612,648,150,12289,6,143
30-09-2022,1001,15318,27,0,14,649,520,135,13209,8,121
29-09-2022,1012,15504,26,0,10,651,511,147,13293,3,125
28-09-2022,1011,15460,20,0,11,665,487,140,13153,6,118
27-09-2022,1009,15281,23,0,12,635,458,138,13287,4,113
26-09-2022,1003,14801,21,0,12,580,421,147,12202,1,88
23-09-2022,1005,14884,15,0,13,656,333,138,12590,3,65
22-09-2022,1015,14892,15,0,13,661,312,150,12821,5,78
21-09-2022,1008,14840,14,0,12,647,298,153,12833,3,72
20-09-2022,1007,14893,14,0,11,616,305,142,12659,2,65
19-09-2022,982,14514,18,0,11,554,297,140,11836,6,49
16-09-2022,994,14815,19,0,12,638,272,131,12754,7,52
15-09-2022,991,14865,15,0,12,659,264,142,12747,1,56
14-09-2022,997,15040,19,0,11,637,275,154,13025,3,66
13-09-2022,1001,14991,16,0,13,650,275,169,12923,5,52
12-09-2022,996,14719,21,0,8,581,289,159,12158,2,53
09-09-2022,996,14624,22,0,9,629,225,161,12708,4,45
08-09-2022,1005,14623,20,0,9,655,232,165,12681,4,46
07-09-2022,1006,14847,18,0,10,643,236,179,12941,3,43
06-09-2022,999,14598,16,0,11,615,248,194,12716,2,60
05-09-2022,992,13926,16,0,13,526,234,186,11425,3,54
02-09-2022,1006,14211,11,0,19,628,219,201,12098,3,37
01-09-2022,982,14439,19,0,14,589,242,196,12384,4,40
31-08-2022,995,14404,17,0,11,609,260,201,12320,3,43
30-08-2022,992,14338,19,0,12,608,279,201,12178,5,45
29-08-2022,978,13978,18,0,12,583,286,205,11395,1,49
26-08-2022,993,14035,17,0,17,627,307,214,12066,3,58
25-08-2022,991,14099,16,0,14,613,314,208,12140,1,62
24-08-2022,995,14106,19,0,13,638,308,219,12167,2,66
23-08-2022,993,13958,23,0,18,591,305,234,12042,2,50
22-08-2022,977,13434,28,0,15,549,330,236,11096,6,64
19-08-2022,975,13717,26,0,17,625,354,248,11808,3,72
18-08-2022,974,14001,27,0,13,617,376,262,11991,2,70
17-08-2022,957,13852,30,0,14,604,397,249,11901,5,74
16-08-2022,950,13698,28,0,14,595,412,245,11717,4,93
15-08-2022,951,13240,30,0,14,591,390,252,10970,3,75
12-08-2022,950,13418,28,0,15,590,386,250,11346,5,78
11-08-2022,951,13518,28,0,8,601,395,259,11446,7,80
10-08-2022,963,13559,26,0,7,601,432,272,11391,4,71
09-08-2022,957,13527,35,0,6,594,467,283,11359,1,86
08-08-2022,943,13169,39,0,9,534,488,287,10847,7,84
05-08-2022,963,13510,34,0,6,578,553,283,11444,7,112
04-08-2022,960,13548,29,0,6,617,546,285,11456,3,114
03-08-2022,953,13675,33,0,10,598,544,295,11572,4,94
02-08-2022,957,13520,37,0,7,583,544,293,11423,6,118
01-08-2022,960,13440,37,0,4,566,557,294,10927,3,90
29-07-2022,976,13733,35,0,7,611,620,275,11531,4,95
28-07-2022,982,13990,34,0,8,606,682,293,11870,7,116
27-07-2022,987,13995,37,0,3,612,726,312,11995,6,107
26-07-2022,973,13842,37,0,9,601,767,279,11740,5,158
25-07-2022,979,14031,42,0,6,578,816,260,11585,10,135
22-07-2022,981,14135,39,0,5,616,815,254,11960,13,148
21-07-2022,992,14189,34,0,4,651,833,254,12011,9,168
20-07-2022,993,14240,37,0,4,648,822,286,12117,7,152
19-07-2022,994,14256,39,0,5,645,813,268,11750,8,153
